"Dataset","Methods","ctd","out","mue","u_mue","mse","u_mse","rmsd","u_rmsd","q95hd","u_q95hd","hrmode","u_hrmode","skew","u_skew","skewgm","u_skewgm","skewgm_mcf","u_skewgm_mcf","kurt","u_kurt","kurtcs","u_kurtcs","gini","u_gini","gimc","u_gimc","bmax","u_bmax","gmax","u_gmax"
"PER2018","B97-1",-1,FALSE,0.85462,0.0521,0.505927,0.0688,1.05144,0.0817,2.67039,0.354,0.838437,0.119,0.25805,0.394,-0.122904,0.0767,0.465798,0.0755,6.68059,0.747,3.475,0.716,0.444017,0.0212,0.547248,0.0211,0.735327,0.054,0.555323,0.0179
"PER2018","BH&HLYP",-1,FALSE,4.83115,0.228,4.79177,0.232,3.49527,0.242,11.7445,0.609,3.0195,0.35,1.38893,0.248,0.416011,0.0522,0.58382,0.0573,5.63346,1.08,0.602025,0.48,0.368374,0.015,0.56114,0.0199,2.84497,0.156,0.563857,0.0182
"PER2018","BLYP",-1,FALSE,1.62697,0.101,0.410879,0.144,2.23232,0.173,5.32572,0.557,1.57943,0.453,-1.2904,0.274,-0.24112,0.0672,0.483635,0.0717,6.59308,0.865,3.46987,0.784,0.464651,0.0199,0.554668,0.0203,1.27165,0.268,0.571115,0.0177
"PER2018","CAM-B3LYP",-1,FALSE,0.90408,0.0906,0.551142,0.103,1.54311,0.12,4.13278,0.367,0.00133929,0.0668,1.77813,0.257,0.572355,0.0575,0.752781,0.035,6.61096,1.1,5.10117,1.29,0.663176,0.015,0.662986,0.0156,-0.054344,0.0293,0.667151,0.0148
"PER2018","LC-ωPBE",-1,FALSE,1.0939,0.095,0.730925,0.113,1.66974,0.144,4.33805,0.514,0.267,0.125,1.72467,0.352,0.447076,0.0644,0.616897,0.0507,8.01181,1.8,2.81735,0.817,0.603288,0.018,0.602333,0.0196,0.183972,0.0939,0.609759,0.0183
"PER2018","PBE",-1,FALSE,2.79157,0.156,-2.53265,0.174,2.66783,0.196,8.06469,0.83,-1.2735,0.451,-1.33498,0.23,-0.218689,0.0608,0.491952,0.0699,6.04098,0.86,1.9695,0.52,0.423151,0.0178,0.531738,0.0229,-1.25991,0.324,0.531848,0.0207
"PER2018","PBE0",-1,FALSE,0.924562,0.0739,0.236388,0.0965,1.44198,0.12,3.2688,0.497,-0.01,0.157,1.77438,0.206,0.349149,0.063,0.556581,0.0628,7.18707,1.01,2.99403,0.865,0.565213,0.0213,0.567521,0.0241,-0.139464,0.0852,0.580816,0.0201
"PER2018","PW86PBE",-1,FALSE,1.63516,0.123,-0.535453,0.16,2.4625,0.202,6.13537,0.889,0.836786,0.457,-1.48577,0.269,-0.261061,0.068,0.424646,0.0879,7.06366,1.06,2.68442,0.585,0.527692,0.0211,0.535653,0.0212,0.709696,0.322,0.539101,0.0203
"SCH2018","LDA",-1,FALSE,0.71559,0.0311,0.684615,0.0346,0.485566,0.0237,1.5148,0.0698,0.6,0.218,0.149173,0.139,0.0471041,0.0718,0.275841,0.0749,2.86641,0.219,0.137639,0.235,0.344717,0.0166,0.414076,0.0162,0.429924,0.232,0.425072,0.0157
"SCH2018","PBE",-1,FALSE,0.186872,0.0099,0.0932308,0.0156,0.212565,0.00942,0.418373,0.0235,0,0.0781,-0.11044,0.12,-0.00467329,0.06,0.146055,0.085,2.51269,0.176,-0.0896366,0.22,0.413896,0.02,0.413896,0.0165,0,0.098,0.413896,0.015
