"Dataset","Methods","ctd","out","mue","u_mue","mse","u_mse","rmsd","u_rmsd","hrmode","u_hrmode","skew","u_skew","kurt","u_kurt","kurtcs","u_kurtcs","q95hd","u_q95hd","gini","u_gini","lasym","u_lasym","pietra","u_pietra"
"BOR2019","BJ",-2,FALSE,0.57001,0.034,0.30312,0.039,0.86942,0.073,0,0.049,2.5292,0.52,14.734,4.6,1.7409,0.47,1.8884,0.2,0.53627,0.018,0.92994,0.035,0.38395,0.014
"BOR2019","mBJ",-2,FALSE,0.48341,0.025,0.15577,0.031,0.68348,0.051,0,0.089,1.4937,0.52,10.421,3.2,0.72105,0.32,1.3676,0.077,0.4909,0.016,0.88171,0.029,0.35715,0.012
"BOR2019","SCAN",-2,FALSE,0.59102,0.035,0.27671,0.042,0.91975,0.085,0,0.15,2.7898,0.68,18.037,6.6,1.5767,0.47,1.9659,0.19,0.5286,0.018,0.93155,0.034,0.38011,0.014
"BOR2019","HSE06",-2,FALSE,0.52934,0.031,0.013386,0.037,0.84744,0.075,0,0.061,2.4106,0.68,16.558,5.8,2.6622,0.5,1.6803,0.15,0.546,0.017,0.9336,0.027,0.40092,0.013
"BOR2019","HSE14",-2,FALSE,0.60357,0.03,-0.25684,0.036,0.83054,0.061,0,0.2,1.1504,0.54,10.811,2.4,2.3462,0.43,1.8122,0.13,0.49718,0.015,0.90772,0.029,0.35723,0.012
"BOR2019","HSE_mix",-2,FALSE,0.63778,0.032,-0.35846,0.038,0.85645,0.054,0,0.11,-0.32023,0.45,7.9144,1.5,1.9823,0.4,1.9666,0.13,0.51824,0.015,0.86544,0.027,0.37888,0.012
"BOR2019","PBE0",-2,FALSE,0.53923,0.032,0.087322,0.039,0.86792,0.072,0,0.084,2.1088,0.62,14.5,4.6,2.8445,0.49,1.8478,0.16,0.54876,0.016,0.96681,0.026,0.4036,0.014
"BOR2019","PBE0_mix",-2,FALSE,0.67308,0.033,-0.20415,0.043,0.96544,0.054,0,0.14,-0.83836,0.3,6.4592,0.91,1.7571,0.38,2.1018,0.13,0.51721,0.014,0.96338,0.027,0.38302,0.012
"NAR2019","G4MP2",-2,FALSE,0.79577,0.034,0.12941,0.048,1.0567,0.046,0,0.16,-0.34753,0.22,4.4332,0.72,0.93653,0.26,2.2205,0.11,0.46766,0.013,0.86959,0.027,0.34426,0.011
"NAR2019","B3LYP",-2,FALSE,2.5673,0.12,0.58366,0.17,3.6745,0.32,0,0.79,1.9095,0.82,15.445,6.5,0.92402,0.3,6.8973,0.53,0.4711,0.017,0.93061,0.034,0.33677,0.012
